id,name,basic,rare,legendary,franchise,normalStory,rareStory,legendaryStory
22,Juufuutei Raden,raden_normal.jpg,raden_rare.jpg,raden_legendary.jpg,Hololive,,,
23,Ishmael,ishmael_normal.jpg,ishmael_rare.jpg,ishmael_legendary.jpg,Limbus Company,,,
24,Ryoshuu,ryoshu_normal.jpg,ryoshu_rare.jpg,ryoshu_legendary.jpg,Limbus Company,,,
25,Faust,faust_normal.jpg,faust_rare.jpg,faust_legendary.jpg,Limbus Company,,,
26,Don Quixote,don_quixote_normal.jpg,don_quixote_rare.jpg,don_quixote_legendary.jpg,Limbus Company,,,
27,Outis,outis_normal.jpg,outis_rare.jpg,outis_legendary.jpg,Limbus Company,,,
28,Tifa Lockhart,tifa_normal.jpg,tifa_rare.jpg,tifa_legendary.jpg,Final Fantasy,,,
29,Y'shtola Rhul,yshtola_normal.jpg,yshtola_rare.jpg,yshtola_legendary.jpg,Final Fantasy,,,
30,Alisaie Leveilleur,alisae_normal.jpg,alisae_rare.jpg,alisae_legendary.jpg,Final Fantasy,,,
31,Rumi Usagiyama,rumi_normal.jpg,rumi_rare.jpg,rumi_legendary.jpg,My Hero Academia,,,
32,Momo Yaoyorozu,momo_normal.jpg,momo_rare.jpg,momo_legendary.jpg,My Hero Academia,,,
33,Kyoka Jirou,kyoka_normal.jpg,kyoka_rare.jpg,kyoka_legendary.jpg,My Hero Academia,,,
34,Itsuka Kendo,kendo_normal.jpg,kendo_rare.jpg,kendo_legendary.jpg,My Hero Academia,,,
35,Kaina Tsutsumi,kaina_normal.jpg,kaina_rare.jpg,kaina_legendary.jpg,My Hero Academia,,,
36,Mei Hatsume,mei_normal.jpg,mei_rare.jpg,mei_legendary.jpg,My Hero Academia,,,
37,Mitsuki Bakugo,mitsuki_normal.jpg,mitsuki_rare.jpg,mitsuki_legendary.jpg,My Hero Academia,,,
38,Nana Shimura,nana_normal.jpg,nana_rare.jpg,nana_legendary.jpg,My Hero Academia,,,
39,Ryuko Tatsuma,ryuko_normal.jpg,ryuko_rare.jpg,ryuko_legendary.jpg,My Hero Academia,,,
40,Shino Sosaki,shino_normal.jpg,shino_rare.jpg,shino_legendary.jpg,My Hero Academia,,,
41,Yu Takeyama,yu_normal.jpg,yu_rare.jpg,yu_legendary.jpg,My Hero Academia,,,
42,Ryuko Tsuchikawa,ryuko_tsuchikawa_normal.jpg,ryuko_tsuchikawa_rare.jpg,ryuko_tsuchikawa_legendary.jpg,My Hero Academia,,,
43,Yoruichi Shihōin,yoruichi_normal.jpg,yoruichi_rare.jpg,yoruichi_legendary.jpg,Bleach,,,
44,Bambietta Basterbine,bambietta_normal.jpg,bambietta_rare.jpg,bambietta_legendary.jpg,Bleach,,,
45,Tier Harribel,tier_normal.jpg,tier_rare.jpg,tier_legendary.jpg,Bleach,,,
46,Riruka Dokugamine,riruka_normal.jpg,riruka_rare.jpg,riruka_legendary.jpg,Bleach,,,
47,Liltotto Lamperd,liltotto_normal.jpg,liltotto_rare.jpg,liltotto_legendary.jpg,Bleach,,,
48,Lisa Yadōmaru,lisa_normal.jpg,lisa_rare.jpg,lisa_legendary.jpg,Bleach,,,
49,Kūkaku Shiba,kukaku_normal.jpg,kukaku_rare.jpg,kukaku_legendary.jpg,Bleach,,,
50,Nico Robin,robin_normal.jpg,robin_rare.jpg,robin_legendary.jpg,One Piece,,,
51,Nami,nami_normal.jpg,nami_rare.jpg,nami_legendary.jpg,One Piece,,,
52,Perona,perona_normal.jpg,perona_rare.jpg,perona_legendary.jpg,One Piece,,,
53,Ulti,ulti_normal.jpg,ulti_rare.jpg,ulti_legendary.jpg,One Piece,,,
54,Yamato,yamato_normal.jpg,yamato_rare.jpg,yamato_legendary.jpg,One Piece,,,
55,Jewelry Bonney,bonney_normal.jpg,bonney_rare.jpg,bonney_legendary.jpg,One Piece,,,
56,Vegapunk Lilith,lilith_normal.jpg,lilith_rare.jpg,lilith_legendary.jpg,One Piece,,,
57,Maki Zenin,maki_normal.jpg,maki_rare.jpg,maki_legendary.jpg,Jujutsu Kaisen,,,
58,Nobara Kugisaki,nobara_normal.jpg,nobara_rare.jpg,nobara_legendary.jpg,Jujutsu Kaisen,,,
59,Yuki Tsukumo,yuki_normal.jpg,yuki_rare.jpg,yuki_legendary.jpg,Jujutsu Kaisen,,,
60,Takako Uro,takako_normal.jpg,takako_rare.jpg,takako_legendary.jpg,Jujutsu Kaisen,,,
61,Shoko Ieiri,shoko_normal.jpg,shoko_rare.jpg,shoko_legendary.jpg,Jujutsu Kaisen,,,
62,Ramlethal Valentine,ramlethal_normal.jpg,ramlethal_rare.jpg,ramlethal_legendary.jpg,Guilty Gear,,,
63,Baiken,baiken_normal.jpg,baiken_rare.jpg,baiken_legendary.jpg,Guilty Gear,,,
64,Giovanna,giovanna_normal.jpg,giovanna_rare.jpg,giovanna_legendary.jpg,Guilty Gear,,,
65,Testament,testament_normal.jpg,testament_rare.jpg,testament_legendary.jpg,Guilty Gear,,,
66,Jack-O Valentine,jacko_normal.jpg,jacko_rare.jpg,jacko_legendary.jpg,Guilty Gear,,,
67,Unika,unika_normal.jpg,unika_rare.jpg,unika_legendary.jpg,Guilty Gear,,,
68,Millia Rage,millia_normal.jpg,millia_rare.jpg,millia_legendary.jpg,Guilty Gear,,,
69,Melinoe,melinoe_normal.jpg,melinoe_rare.jpg,melinoe_legendary.jpg,Hades,,,
70,Nemesis,nemesis_normal.jpg,nemesis_rare.jpg,nemesis_legendary.jpg,Hades,,,
71,Aphrodite,aphrodite_normal.jpg,aphrodite_rare.jpg,aphrodite_legendary.jpg,Hades,,,
72,Artemis,artemis_normal.jpg,artemis_rare.jpg,artemis_legendary.jpg,Hades,,,
73,Hecate,hecate_normal.jpg,hecate_rare.jpg,hecate_legendary.jpg,Hades,,,
74,Megeara,megeara_normal.jpg,megeara_rare.jpg,megeara_legendary.jpg,Hades,,,
75,Tae Takemi,tae_normal.jpg,tae_rare.jpg,tae_legendary.jpg,Persona,,,
76,Naoto Shirogane,naoto_normal.jpg,naoto_rare.jpg,naoto_legendary.jpg,Persona,,,
77,Makoto Nijima,makoto_normal.jpg,makoto_rare.jpg,makoto_legendary.jpg,Persona,,,
78,Sae Nijima,sae_normal.jpg,sae_rare.jpg,sae_legendary.jpg,Persona,,,
79,Elizabeth,elizabeth_normal.jpg,elizabeth_rare.jpg,elizabeth_legendary.jpg,Persona,,,
80,Margaret,margaret_normal.jpg,margaret_rare.jpg,margaret_legendary.jpg,Persona,,,
81,Chidori Yoshino,chidori_normal.jpg,chidori_rare.jpg,chidori_legendary.jpg,Persona,,,
82,Caroline and Justine,caroline_justine_normal.jpg,caroline_justine_rare.jpg,caroline_justine_legendary.jpg,Persona,,,
83,Sumire Yoshizawa,sumire_normal.jpg,sumire_rare.jpg,sumire_legendary.jpg,Persona,,,
84,Mitsuru Kirijo,mitsuru_normal.jpg,mitsuru_rare.jpg,mitsuru_legendary.jpg,Persona,,,
85,Ichiko Ohya,ohya_normal.jpg,ohya_rare.jpg,ohya_legendary.jpg,Persona,,,
86,Junko Enoshima,junko_normal.jpg,junko_rare.jpg,junko_legendary.jpg,Danganronpa,,,
87,Celestia Ludenburg,celestia_normal.jpg,celestia_rare.jpg,celestia_legendary.jpg,Danganronpa,,,
88,Mukuro Ikusaba,mukuro_normal.jpg,mukuro_rare.jpg,mukuro_legendary.jpg,Danganronpa,,,
89,Kyoko Kirigiri,kyoko_normal.jpg,kyoko_rare.jpg,kyoko_legendary.jpg,Danganronpa,,,
90,Aoi Asahina,aoi_normal.jpg,aoi_rare.jpg,aoi_legendary.jpg,Danganronpa,,,
91,Peko Pekoyama,peko_normal.jpg,peko_rare.jpg,peko_legendary.jpg,Danganronpa,,,
92,Akane Owari,akane_normal.jpg,akane_rare.jpg,akane_legendary.jpg,Danganronpa,,,
93,Mahiru Koizumi,mahiru_normal.jpg,mahiru_rare.jpg,mahiru_legendary.jpg,Danganronpa,,,
94,Karlach,karlach_normal.jpg,karlach_rare.jpg,karlach_legendary.jpg,Baldur's Gate 3,,,
95,Shadowheart,shadowheart_normal.jpg,shadowheart_rare.jpg,shadowheart_legendary.jpg,Baldur's Gate 3,,,
96,Orin the Red,orin_normal.jpg,orin_rare.jpg,orin_legendary.jpg,Baldur's Gate 3,,,
97,Minthara,minthara_normal.jpg,minthara_rare.jpg,minthara_legendary.jpg,Baldur's Gate 3,,,
98,Mizora,mizora_normal.jpg,mizora_rare.jpg,mizora_legendary.jpg,Baldur's Gate 3,,,
99,Lucifer,lucifer_normal.jpg,lucifer_rare.jpg,lucifer_legendary.jpg,Helltaker,,,
100,Judgement,judgement_normal.jpg,judgement_rare.jpg,judgement_legendary.jpg,Helltaker,,,
101,Pandemonica,pandemonica_normal.jpg,pandemonica_rare.jpg,pandemonica_legendary.jpg,Helltaker,,,
102,Justice,justice_normal.jpg,justice_rare.jpg,justice_legendary.jpg,Helltaker,,,
103,Malina,malina_normal.jpg,malina_rare.jpg,malina_legendary.jpg,Helltaker,,,
104,Zdraga,zdraga_normal.jpg,zdraga_rare.jpg,zdraga_legendary.jpg,Helltaker,,,
105,2B,2b_normal.jpg,2b_rare.jpg,2b_legendary.jpg,Nier,,,
106,Tracer,tracer_normal.jpg,tracer_rare.jpg,tracer_legendary.jpg,Overwatch,,,
107,Widowmaker,widowmaker_normal.jpg,widowmaker_rare.jpg,widowmaker_legendary.jpg,Overwatch,,,
108,Ashe,ashe_normal.jpg,ashe_rare.jpg,ashe_legendary.jpg,Overwatch,,,
109,Mercy,mercy_normal.jpg,mercy_rare.jpg,mercy_legendary.jpg,Overwatch,,,
110,D.Va,dva_normal.jpg,dva_rare.jpg,dva_legendary.jpg,Overwatch,,,
111,Sombra,sombra_normal.jpg,sombra_rare.jpg,sombra_legendary.jpg,Overwatch,,,
112,Kiriko,kiriko_normal.jpg,kiriko_rare.jpg,kiriko_legendary.jpg,Overwatch,,,
113,Akali,akali_normal.jpg,akali_rare.jpg,akali_legendary.jpg,League of Legends,,,
114,Evelynn,evelynn_normal.jpg,evelynn_rare.jpg,evelynn_legendary.jpg,League of Legends,,,
115,Jinx,jinx_normal.jpg,jinx_rare.jpg,jinx_legendary.jpg,League of Legends,,,
116,Vi,vi_normal.jpg,vi_rare.jpg,vi_legendary.jpg,League of Legends,,,
117,Caitlyn,caitlyn_normal.jpg,caitlyn_rare.jpg,caitlyn_legendary.jpg,League of Legends,,,
118,Lara Croft,lara_croft_normal.jpg,lara_croft_rare.jpg,lara_croft_legendary.jpg,Tomb Raider,,,
119,Ram,ram_normal.jpg,ram_rare.jpg,ram_legendary.jpg,Re:Zero,,,
120,Crusch Karsten,crusch_normal.jpg,crusch_rare.jpg,crusch_legendary.jpg,Re:Zero,,,
121,Priscilla Barielle,priscilla_normal.jpg,priscilla_rare.jpg,priscilla_legendary.jpg,Re:Zero,,,
122,Makima,makima_normal.jpg,makima_rare.jpg,makima_legendary.jpg,Chainsaw Man,,,
123,Himeno,himeno_normal.jpg,himeno_rare.jpg,himeno_legendary.jpg,Chainsaw Man,,,
124,Power,power_normal.jpg,power_rare.jpg,power_legendary.jpg,Chainsaw Man,,,
125,Quanxi,quanxi_normal.jpg,quanxi_rare.jpg,quanxi_legendary.jpg,Chainsaw Man,,,
126,Yoru,yoru_normal.jpg,yoru_rare.jpg,yoru_legendary.jpg,Chainsaw Man,,,
127,Fami,fami_normal.jpg,fami_rare.jpg,fami_legendary.jpg,Chainsaw Man,,,
128,Reze,reze_normal.jpg,reze_rare.jpg,reze_legendary.jpg,Chainsaw Man,,,
129,Anis,anis_normal.jpg,anis_rare.jpg,anis_legendary.jpg,Goddess of Victory: Nikke,,,
130,Bay,bay_normal.jpg,bay_rare.jpg,bay_legendary.jpg,Goddess of Victory: Nikke,,,
131,Blanc,blanc_normal.jpg,blanc_rare.jpg,blanc_legendary.jpg,Goddess of Victory: Nikke,,,
132,Centi,centi_normal.jpg,centi_rare.jpg,centi_legendary.jpg,Goddess of Victory: Nikke,,,
133,Brid,brid_normal.jpg,brid_rare.jpg,brid_legendary.jpg,Goddess of Victory: Nikke,,,
134,Crow,crow_normal.jpg,crow_rare.jpg,crow_legendary.jpg,Goddess of Victory: Nikke,,,
135,D,d_normal.jpg,d_rare.jpg,d_legendary.jpg,Goddess of Victory: Nikke,,,
136,Dolla,dolla_normal.jpg,dolla_rare.jpg,dolla_legendary.jpg,Goddess of Victory: Nikke,,,
137,Delta,delta_normal.jpg,delta_rare.jpg,delta_legendary.jpg,Goddess of Victory: Nikke,,,
138,Elegg,elegg_normal.jpg,elegg_rare.jpg,elegg_legendary.jpg,Goddess of Victory: Nikke,,,
139,Exia,exia_normal.jpg,exia_rare.jpg,exia_legendary.jpg,Goddess of Victory: Nikke,,,
140,Frima,frima_normal.jpg,frima_rare.jpg,frima_legendary.jpg,Goddess of Victory: Nikke,,,
141,Guilty,guilty_normal.jpg,guilty_rare.jpg,guilty_legendary.jpg,Goddess of Victory: Nikke,,,
142,Harran,harran_normal.jpg,harran_rare.jpg,harran_legendary.jpg,Goddess of Victory: Nikke,,,
143,Helm,helm_normal.jpg,helm_rare.jpg,helm_legendary.jpg,Goddess of Victory: Nikke,,,
144,Label,label_normal.jpg,label_rare.jpg,label_legendary.jpg,Goddess of Victory: Nikke,,,
145,Ludmilla,ludmilla_normal.jpg,ludmilla_rare.jpg,ludmilla_legendary.jpg,Goddess of Victory: Nikke,,,
146,Marciana,marciana_normal.jpg,marciana_rare.jpg,marciana_legendary.jpg,Goddess of Victory: Nikke,,,
147,Mana,mana_normal.jpg,mana_rare.jpg,mana_legendary.jpg,Goddess of Victory: Nikke,,,
148,Maiden,maiden_normal.jpg,maiden_rare.jpg,maiden_legendary.jpg,Goddess of Victory: Nikke,,,
149,Maxwell,maxwell_normal.jpg,maxwell_rare.jpg,maxwell_legendary.jpg,Goddess of Victory: Nikke,,,
150,Moran,moran_normal.jpg,moran_rare.jpg,moran_legendary.jpg,Goddess of Victory: Nikke,,,
151,Milk,milk_normal.jpg,milk_rare.jpg,milk_legendary.jpg,Goddess of Victory: Nikke,,,
152,Nihilister,nihilister_normal.jpg,nihilister_rare.jpg,nihilister_legendary.jpg,Goddess of Victory: Nikke,,,
153,Privaty,privaty_normal.jpg,privaty_rare.jpg,privaty_legendary.jpg,Goddess of Victory: Nikke,,,
154,Quency,quency_normal.jpg,quency_rare.jpg,quency_legendary.jpg,Goddess of Victory: Nikke,,,
155,Rosanna,rosanna_normal.jpg,rosanna_rare.jpg,rosanna_legendary.jpg,Goddess of Victory: Nikke,,,
156,Red Hood,red_hood_normal.jpg,red_hood_rare.jpg,red_hood_legendary.jpg,Goddess of Victory: Nikke,,,
157,Rouge,rouge_normal.jpg,rouge_rare.jpg,rouge_legendary.jpg,Goddess of Victory: Nikke,,,
158,Rumani,rumani_normal.jpg,rumani_rare.jpg,rumani_legendary.jpg,Goddess of Victory: Nikke,,,
159,Sakura,sakura_normal.jpg,sakura_rare.jpg,sakura_legendary.jpg,Goddess of Victory: Nikke,,,
160,Snow White,snow_white_normal.jpg,snow_white_rare.jpg,snow_white_legendary.jpg,Goddess of Victory: Nikke,,,
161,Sin,sin_normal.jpg,sin_rare.jpg,sin_legendary.jpg,Goddess of Victory: Nikke,,,
162,Scarlet,scarlet_normal.jpg,scarlet_rare.jpg,scarlet_legendary.jpg,Goddess of Victory: Nikke,,,
163,Sugar,sugar_normal.jpg,sugar_rare.jpg,sugar_legendary.jpg,Goddess of Victory: Nikke,,,
164,Velvet,velvet_normal.jpg,velvet_rare.jpg,velvet_legendary.jpg,Goddess of Victory: Nikke,,,
165,Volume,volume_normal.jpg,volume_rare.jpg,volume_legendary.jpg,Goddess of Victory: Nikke,,,
166,Yulha,yulha_normal.jpg,yulha_rare.jpg,yulha_legendary.jpg,Goddess of Victory: Nikke,,,
167,Nazuna Nanakusa,nazuna_normal.jpg,nazuna_rare.jpg,nazuna_legendary.jpg,Call of the Night,,,
168,Kyouko Mejiro,kyouko_normal.jpg,kyouko_rare.jpg,kyouko_legendary.jpg,Call of the Night,,,
169,Kiku Hoshimi,kiku_normal.jpg,kiku_rare.jpg,kiku_legendary.jpg,Call of the Night,,,
170,Kabura Honda,kabura_normal.jpg,kabura_rare.jpg,kabura_legendary.jpg,Call of the Night,,,
171,Nico Hirata,nico_normal.jpg,nico_rare.jpg,nico_legendary.jpg,Call of the Night,,,
172,Fubuki Azuma,fubuki_azuma_normal.jpg,fubuki_azuma_rare.jpg,fubuki_azuma_legendary.jpg,Mato Seihei no Slave,,,
173,Ren Yamashiro,ren_normal.jpg,ren_rare.jpg,ren_legendary.jpg,Mato Seihei no Slave,,,
174,Tenka Izumo,tenka_normal.jpg,tenka_rare.jpg,tenka_legendary.jpg,Mato Seihei no Slave,,,
175,Mira Kamiunten,mira_normal.jpg,mira_rare.jpg,mira_legendary.jpg,Mato Seihei no Slave,,,
176,Kuusetsu,kuusetsu_normal.jpg,kuusetsu_rare.jpg,kuusetsu_legendary.jpg,Mato Seihei no Slave,,,
177,Fuukuma,fuukuma_normal.jpg,fuukuma_rare.jpg,fuukuma_legendary.jpg,Mato Seihei no Slave,,,
178,Jouryuu,jouryuu_normal.jpg,jouryuu_rare.jpg,jouryuu_legendary.jpg,Mato Seihei no Slave,,,
179,Naruhime,naruhime_normal.jpg,naruhime_rare.jpg,naruhime_legendary.jpg,Mato Seihei no Slave,,,
180,Shikoku,shikoku_normal.jpg,shikoku_rare.jpg,shikoku_legendary.jpg,Mato Seihei no Slave,,,
181,Jolyne Cujoh,jolyne_normal.jpg,jolyne_rare.jpg,jolyne_legendary.jpg,JoJo's Bizarre Adventure,,,
182,Trish Una,trish_normal.jpg,trish_rare.jpg,trish_legendary.jpg,JoJo's Bizarre Adventure,,,
183,Hot Pants,hot_pants_normal.jpg,hot_pants_rare.jpg,hot_pants_legendary.jpg,JoJo's Bizarre Adventure,,,
184,Lisa Lisa,lisa_lisa_normal.jpg,lisa_lisa_rare.jpg,lisa_lisa_legendary.jpg,JoJo's Bizarre Adventure,,,
185,Ermes Costello,ermes_normal.jpg,ermes_rare.jpg,ermes_legendary.jpg,JoJo's Bizarre Adventure,,,
186,Kei Nijimura,kei_normal.jpg,kei_rare.jpg,kei_legendary.jpg,JoJo's Bizarre Adventure,,,
187,Mariah,mariah_normal.jpg,mariah_rare.jpg,mariah_legendary.jpg,JoJo's Bizarre Adventure,,,
188,Philo,philo_normal.jpg,philo_rare.jpg,philo_legendary.jpg,Please Don't Milk Me Merchant-San,,,
189,Tatsumaki,tatsumaki_normal.jpg,tatsumaki_rare.jpg,tatsumaki_legendary.jpg,One Punch Man,,,
190,Fubuki,fubuki_normal.jpg,fubuki_rare.jpg,fubuki_legendary.jpg,One Punch Man,,,
191,Do-S,do_s_normal.jpg,do_s_rare.jpg,do_s_legendary.jpg,One Punch Man,,,
192,Psychos,psychos_normal.jpg,psychos_rare.jpg,psychos_legendary.jpg,One Punch Man,,,
193,Mizuki,mizuki_normal.jpg,mizuki_rare.jpg,mizuki_legendary.jpg,One Punch Man,,,
194,Mosquito Girl,mosquito_normal.jpg,mosquito_rare.jpg,mosquito_legendary.jpg,One Punch Man,,,
195,Loba,loba_normal.jpg,loba_rare.jpg,loba_legendary.jpg,Apex Legends,,,
196,Wattson,wattson_normal.jpg,wattson_rare.jpg,wattson_legendary.jpg,Apex Legends,,,
197,Wraith,wraith_normal.jpg,wraith_rare.jpg,wraith_legendary.jpg,Apex Legends,,,
198,Amo Empool,amo_normal.jpg,amo_rare.jpg,amo_legendary.jpg,Gachiakuta,,,
199,Riyo Reaper,riyo_normal.jpg,riyo_rare.jpg,riyo_legendary.jpg,Gachiakuta,,,
200,Semiu Grier,semiu_normal.jpg,semiu_rare.jpg,semiu_legendary.jpg,Gachiakuta,,,
201,Kyouka Nijiku,kyouka_normal.jpg,kyouka_rare.jpg,kyouka_legendary.jpg,Gachiakuta,,,
202,Cthoni Andor,cthoni_normal.jpg,cthoni_rare.jpg,cthoni_legendary.jpg,Gachiakuta,,,
203,Too Lily,too_lily_normal.jpg,too_lily_rare.jpg,too_lily_legendary.jpg,Gachiakuta,,,
204,Noerde Hew Amazo,noerde_normal.jpg,noerde_rare.jpg,noerde_legendary.jpg,Gachiakuta,,,
205,Momoa Rukel,momoa_normal.jpg,momoa_rare.jpg,momoa_legendary.jpg,Gachiakuta,,,
206,Mildretta,mildretta_normal.jpg,mildretta_rare.jpg,mildretta_legendary.jpg,Gachiakuta,,,
207,Frenni Fazclair,frenni_normal.jpg,frenni_rare.jpg,frenni_legendary.jpg,FNIA,,,
208,Fexa,fexa_normal.jpg,fexa_rare.jpg,fexa_legendary.jpg,FNIA,,,
209,Marie,marie_normal.jpg,marie_rare.jpg,marie_legendary.jpg,FNIA,,,
210,Frieren,frieren_normal.jpg,frieren_rare.jpg,frieren_legendary.jpg,Frieren: Beyond Journey's End,,,
211,Fern,fern_normal.jpg,fern_rare.jpg,fern_legendary.jpg,Frieren: Beyond Journey's End,,,
212,Ruby Rose,ruby_normal.jpg,ruby_rare.jpg,ruby_legendary.jpg,RWBY,,,
213,Yang Xiao Long,yang_normal.jpg,yang_rare.jpg,yang_legendary.jpg,RWBY,,,
214,Blake Belladona,blake_normal.jpg,blake_rare.jpg,blake_legendary.jpg,RWBY,,,
215,Neopolitan,neo_normal.jpg,neopolitan_rare.jpg,neopolitan_legendary.jpg,RWBY,,,
216,Cinder Fall,cinder_normal.jpg,cinder_rare.jpg,cinder_legendary.jpg,RWBY,,,
217,Winter Schnee,winter_normal.jpg,winter_rare.jpg,winter_legendary.jpg,RWBY,,,
218,Lucy Kushinada,lucy_normal.jpg,lucy_rare.jpg,lucy_legendary.jpg,Cyberpunk Edgerunners,,,
219,Rebecca,rebecca_normal.jpg,rebecca_rare.jpg,rebecca_legendary.jpg,Cyberpunk Edgerunners,,,
220,Kiwi,kiwi_normal.jpg,kiwi_rare.jpg,kiwi_legendary.jpg,Cyberpunk Edgerunners,,,
221,Yor Forger,yor_normal.jpg,yor_rare.jpg,yor_legendary.jpg,Spy x Family,,,
222,Pomni,pomni_normal.jpg,pomni_rare.jpg,pomni_legendary.jpg,Amazing Digital Circus,,,
223,Gemna,gemna_normal.jpg,gemna_rare.jpg,gemna_legendary.jpg,Monster Hunter,,,
224,Albedo,albedo_normal.jpg,albedo_rare.jpg,albedo_legendary.jpg,Overlord,,,
225,Shalltear Bloodfallen,shalltear_normal.jpg,shalltear_rare.jpg,shalltear_legendary.jpg,Overlord,,,
226,Princess Bubblegum,bubblegum_normal.jpg,bubblegum_rare.jpg,bubblegum_legendary.jpg,Adventure Time,,,
227,Marceline,marceline_normal.jpg,marceline_rare.jpg,marceline_legendary.jpg,Adventure Time,,,
228,Revy Lee,revy_normal.jpg,revy_rare.jpg,revy_legendary.jpg,Black Lagoon,,,
229,Ryuko Matoi,ryuko_matoi_normal.jpg,ryuko_rare.jpg,ryuko_legendary.jpg,Kill la Kill,,,
230,Satsuki Kiryuin,satsuki_normal.jpg,satsuki_rare.jpg,satsuki_legendary.jpg,Kill la Kill,,,
231,Nui Harime,nui_normal.jpg,nui_rare.jpg,nui_legendary.jpg,Kill la Kill,,,
232,Asuna Ichinose,asuna_normal.jpg,asuna_rare.jpg,asuna_legendary.jpg,Blue Archive,,,
233,Karin kakudate,karin_normal.jpg,karin_rare.jpg,karin_legendary.jpg,Blue Archive,,,
234,Altria Pendragon,altria_normal.jpg,altria_rare.jpg,altria_legendary.jpg,Fate/Grand Order,,,
235,Altria Pendragon Alter,altria_alter_normal.jpg,altria_alter_rare.jpg,altria_alter_legendary.jpg,Fate/Grand Order,,,
236,Jeanne d'Arc Alter,jeanne_alter_normal.jpg,jeanne_alter_rare.jpg,jeanne_alter_legendary.jpg,Fate/Grand Order,,,
237,Shuten Douji,shuten_normal.jpg,shuten_rare.jpg,shuten_legendary.jpg,Fate/Grand Order,,,
238,Minamoto-no-Raikou,minamoto_normal.jpg,minamoto_rare.jpg,minamoto_legendary.jpg,Fate/Grand Order,,,
239,Altria Pendragon Lancer,altria_lancer_normal.jpg,altria_lancer_rare.jpg,altria_lancer_legendary.jpg,Fate/Grand Order,,,
240,Altria Pendragon Lancer Alter,altria_lancer_alter_normal.jpg,altria_lancer_alter_rare.jpg,altria_lancer_alter_legendary.jpg,Fate/Grand Order,,,
241,BB,bb_normal.jpg,bb_rare.jpg,bb_legendary.jpg,Fate/Grand Order,,,
242,Ibuki Douji,ibuki_normal.jpg,ibuki_rare.jpg,ibuki_legendary.jpg,Fate/Grand Order,,,
243,Nitocris Alter,nitocris_alter_normal.jpg,nitocris_alter_rare.jpg,nitocris_alter_legendary.jpg,Fate/Grand Order,,,
244,Nightingale,nightingale_normal.jpg,nightingale_rare.jpg,nightingale_legendary.jpg,Fate/Grand Order,,,
245,Carmilla,carmilla_normal.jpg,carmilla_rare.jpg,carmilla_legendary.jpg,Fate/Grand Order,,,
246,Winry Rockbell,,,,Fullmetal Alchemist,,,
247,Lust,,,,Fullmetal Alchemist,,,
248,Olivia Mira Armstrong,,,,Fullmetal Alchemist,,,
249,Riza Hawkeye,,,,Fullmetal Alchemist,,,
250,C.C.,,,,Lelouche of the Rebellion,,,
251,Annie Leonhart,,,,Attack on Titan,,,
252,Mikasa Ackerman,,,,Attack on Titan,,,
253,Pieck Finger,,,,Attack on Titan,,,
254,Roxy Migurdia,,,,Mushoku Tensei,,,
255,Ghislaine Dedoldia,,,,Mushoku Tensei,,,
256,Elinalise Dragonroad,,,,Mushoku Tensei,,,
